こむぎ　［その他］　小麦はいが,1,391,32,11.6,14.3,48.3,133,1.82,0.71,1.24,0,0,0,0,2,10,390,1.34,null,3,1100,42,310,1100,9.4,16,0.89,null,null,null,null,null
こむぎ　［その他］　小麦たんぱく　粉末状,1,398,72,9.7,2.4,10.6,13,0.03,0.12,0.1,0,0,0,2.2,0,17,34,0.61,null,60,90,75,75,180,6.6,5,0.75,2.67,null,null,null,null
こむぎ　［その他］　小麦たんぱく　粒状,1,101,20,2,0.4,1.8,0,0.02,0.01,0.01,0,0,0,1,0,4.8,5,0,null,36,3,14,16,54,1.8,1.4,0.22,0.62,null,null,null,null
こむぎ　［その他］　小麦たんぱく　ペースト状,1,145,25,4.1,0.5,3.9,13,0.2,0.03,0.04,0,0,0,3.3,0,7.2,17,0.45,null,230,39,30,54,160,3,2.4,0.36,1.57,null,null,null,null
こむぎ　［その他］　かやきせんべい,1,359,10.6,1.9,null,75.1,2,0.17,0.02,0.09,0,null,0,0.5,0,3,16,0.39,2.3,970,150,19,27,110,0.8,0.6,0.15,0.76,1,5,1,15
こむぎ　［その他］　ぎょうざの皮　生,1,275,9.3,1.4,2.2,57,0,0.08,0.04,0.06,0,0,0,0.4,0,2.5,12,0.61,null,2,64,16,18,60,0.8,0.6,0.12,0.28,null,null,null,null
こむぎ　［その他］　しゅうまいの皮　生,1,275,8.3,1.4,2.2,58.9,0,0.09,0.04,0.05,0,0,0,0.3,0,2.2,9,0.5,null,2,72,16,17,60,0.6,0.5,0.1,0.28,null,null,null,null
こむぎ　［その他］　春巻きの皮　生,1,288,8.3,1.6,4.5,62.2,0,0.03,0.01,0.03,0,null,0,0,1,2,9,0.18,0.9,440,77,13,13,54,0.3,0.3,0.09,0.23,1,18,1,12
こむぎ　［その他］　春巻きの皮　揚げ,1,512,7.2,30.7,4.2,53.7,0,0.02,0.01,0.02,0,null,0,5.3,47,1.8,8,0.18,0.8,370,66,11,11,48,0.3,0.3,0.09,0.2,0,16,1,11
こむぎ　［その他］　ピザ生地,1,265,9.1,3,2.3,51.1,0,0.15,0.11,0.05,0,0,0,1.1,0,2.5,20,0.54,null,510,91,13,22,77,0.8,0.6,0.09,0.5,null,null,null,null
こむぎ　［その他］　ちくわぶ,1,160,7.1,1.2,1.5,31.1,0,0.01,0.02,0.01,0,0,0,0,0,1.7,4,0.25,null,1,3,8,6,31,0.5,0.2,0.07,0.08,null,null,null,null
こむぎ　［その他］　パン粉　生,1,277,11,5.1,3,47.6,6,0.11,0.02,0.05,0,0,0,1.2,0,3.1,40,0.41,null,350,110,25,29,97,1.1,0.7,0.15,0.47,null,null,null,null
こむぎ　［その他］　パン粉　半生,1,315,12.5,5.8,3.5,54.3,8,0.13,0.03,0.06,0,0,0,1.3,0,3.5,46,0.47,null,400,130,28,34,110,1.2,0.8,0.17,0.53,null,null,null,null
こむぎ　［その他］　パン粉　乾燥,1,349,14.9,4.1,6.5,67.4,2,0.16,0.05,0.1,0,0,0,0.7,1,4.5,24,0.46,4.1,570,160,25,36,120,1.1,0.9,0.16,0.62,1,46,1,25
